a,t,CP_K,PIB_K
2004,1,52536.32215,475540.0791
2004,2,52913.35746,470121.1274
2004,3,54497.86907,493832.662
2004,4,55727.60579,500966.912
2005,1,57645.32567,515472.6713
2005,2,58826.18339,526263.5798
2005,3,59802.81227,530051.5528
2005,4,60656.55805,540435.9661
2006,1,60454.95678,554527.0054
2006,2,60848.31086,561248.7386
2006,3,61589.99132,576963.1883
2006,4,62857.42685,589458.6845
2007,1,65282.41924,603178.7292
2007,2,66065.09245,616364.1682
2007,3,66121.37359,624543.4796
2007,4,67523.53508,643683.6337
2008,1,68310.54852,649543.927
2008,2,69493.08004,653526.3467
2008,3,70249.85113,658399.4477
2008,4,70228.51848,627234.9176
2009,1,70647.72309,604302.8264
2009,2,72037.94872,591301.3909
2009,3,74894.05383,614138.894
2009,4,76381.38768,625748.3943
2010,1,75709.4671,644736.4092
2010,2,77563.92709,673861.0305
2010,3,76642.21875,677043.3952
2010,4,80072.77655,686453.8829
2011,1,79679.02149,702907.2609
2011,2,81082.14911,709431.7163
2011,3,81793.18272,715005.9318
2011,4,81584.72572,715781.4799
2012,1,82351.85897,708078.0613
2012,2,82904.54987,683459.3206
2012,3,83982.91635,705124.7537
2012,4,84654.05832,717281.8222
2013,1,86893.37213,717239.1536
2013,2,87296.88743,720685.011
2013,3,87817.08285,725384.1473
2013,4,89657.80834,718320.1093
2014,1,90810.70375,707643.755
2014,2,89345.62066,703081.7384
2014,3,90452.7227,697440.7501
2014,4,91412.7493,701057.9403
2015,1,94623.12613,711623.611
2015,2,97371.48988,727716.4679
2015,3,97904.05586,727288.652
2015,4,97269.18103,719319.8556
2016,1,96444.33454,713343.5535
2016,2,94030.52296,700876.9889
2016,3,96766.37222,703503.3059
2016,4,97896.40897,708187.546
2017,1,97859.59481,715541.1243
2017,2,98764.1906,720864.5454
2017,3,98945.68107,730409.7081
2017,4,99724.73158,738744.4132
2018,1,98793.66324,738063.5061
2018,2,97857.66988,700381.8127
2018,3,96144.008,699912.3783
2018,4,95720.83729,692664.2613
2019,1,96866.97344,693888.0258
2019,2,96650.7433,690911.4546
2019,3,96704.95669,696760.1746
2019,4,94366.85033,690350.1479
2020,1,96684.05849,661654.9489
2020,2,86585.89647,554316.1394
