a,t,CP_K,PIB_K,GK_K,GS_K
2004,1,52536.32215,475540.0791,,6384.224795
2004,2,52913.35746,470121.1274,,7018.702706
2004,3,54497.86907,493832.662,,6520.681783
2004,4,55727.60579,500966.912,,8581.71092
2005,1,57645.32567,515472.6713,,6947.698752
2005,2,58826.18339,526263.5798,,8342.092386
2005,3,59802.81227,530051.5528,,7498.365539
2005,4,60656.55805,540435.9661,,8708.995251
2006,1,60454.95678,554527.0054,,8254.172185
2006,2,60848.31086,561248.7386,,9640.183391
2006,3,61589.99132,576963.1883,,9513.755667
2006,4,62857.42685,589458.6845,,11581.25069
2007,1,65282.41924,603178.7292,1593,12846.10001
2007,2,66065.09245,616364.1682,1632.7,14790.73821
2007,3,66121.37359,624543.4796,1923.3,14174.92811
2007,4,67523.53508,643683.6337,2316.2,17707.23189
2008,1,68310.54852,649543.927,2205.3,16462.9686
2008,2,69493.08004,653526.3467,2038.7,19388.30043
2008,3,70249.85113,658399.4477,2783.7,18177.69237
2008,4,70228.51848,627234.9176,3579.6,22715.50697
2009,1,70647.72309,604302.8264,4044.1,21077.20874
2009,2,72037.94872,591301.3909,3700.1,24144.59471
2009,3,74894.05383,614138.894,4342.9,23003.50645
2009,4,76381.38768,625748.3943,3403,30672.63762
2010,1,75709.4671,644736.4092,3748.9,26871.22041
2010,2,77563.92709,673861.0305,4132.4,31033.11296
2010,3,76642.21875,677043.3952,4213.8,30290.96136
2010,4,80072.77655,686453.8829,5321,40439.39972
2011,1,79679.02149,702907.2609,4826.7,34627.77985
2011,2,81082.14911,709431.7163,4861.4,43723.75965
2011,3,81793.18272,715005.9318,8335.4,40639.35394
2011,4,81584.72572,715781.4799,6417.6,51885.09683
2012,1,82351.85897,708078.0613,7325.9,49068.66922
2012,2,82904.54987,683459.3206,6340.1,60908.77254
2012,3,83982.91635,705124.7537,8378.1,56218.72734
2012,4,84654.05832,717281.8222,8119.2,70132.27371
2013,1,86893.37213,717239.1536,8732.8,62675.66378
2013,2,87296.88743,720685.011,9231.1,80172.23526
2013,3,87817.08285,725384.1473,10559.4,76934.58393
2013,4,89657.80834,718320.1093,12740.4,94141.38768
2014,1,90810.70375,707643.755,11665.7,85034.24656
2014,2,89345.62066,703081.7384,13352.9,107101.4352
2014,3,90452.7227,697440.7501,15585.2,102414.2314
2014,4,91412.7493,701057.9403,13900.6,129363.9689
2015,1,94623.12613,711623.611,15418.8,122172.6879
2015,2,97371.48988,727716.4679,15879.1,157473.4159
2015,3,97904.05586,727288.652,18321.2,153068.4021
2015,4,97269.18103,719319.8556,14534,184525.0073
2016,1,96444.33454,713343.5535,14778.1,175496.367
2016,2,94030.52296,700876.9889,19193.2,221186.6341
2016,3,96766.37222,703503.3059,19322.1,207254.6891
2016,4,97896.40897,708187.546,25420.3,267681.1727
2017,1,97859.59481,715541.1243,24340.8,250868.5548
2017,2,98764.1906,720864.5454,22846.1,305515.0369
2017,3,98945.68107,730409.7081,26737,288172.8936
2017,4,99724.73158,738744.4132,21764.7,356096.8531
2018,1,98793.66324,738063.5061,18922.4,332486.2753
2018,2,97857.66988,700381.8127,18408.6,385931.9007
2018,3,96144.008,699912.3783,21351.8,367366.2136
2018,4,95720.83729,692664.2613,33611,457670.6522
2019,1,96866.97344,693888.0258,26680.5,416206.7797
2019,2,96650.7433,690911.4546,30520.2,542477.1915
2019,3,96704.95669,696760.1746,39441.4,530495.9092
2019,4,94366.85033,690350.1479,29987.3,735260.4495
2020,1,96684.05849,661654.9489,20647,690520.1351
2020,2,86585.89647,554316.1394,32229,791711.593
